customer_id,first_booking_date,last_booking_date,total_bookings,total_revenue,average_booking_value,cohort_month,recency_days,repeat_booking_flag,active_span_days,booking_frequency,cohort_status
C000016,2025-11-06,2025-11-06,1.0,3101.8,3101.8,2025-11,411.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000017,2026-06-11,2026-10-16,3.0,7188.97,2396.3233333333333,2026-06,67.0,1.0,127.0,0.7086614173228346,ACTIVE_COHORT_MEMBER
C000018,,,,,,,,,,,NO_BOOKING
C000019,2026-01-07,2026-08-17,7.0,19257.99,2751.1414285714286,2026-01,127.0,1.0,222.0,0.9459459459459459,ACTIVE_COHORT_MEMBER
C000020,,,,,,,,,,,NO_BOOKING
C000021,2026-01-15,2026-02-12,2.0,2187.7400000000002,1093.8700000000001,2026-01,313.0,1.0,28.0,2.0,ACTIVE_COHORT_MEMBER
C000022,2026-01-05,2026-05-08,3.0,6247.24,2082.4133333333334,2026-01,228.0,1.0,123.0,0.7317073170731708,ACTIVE_COHORT_MEMBER
C000023,2026-01-16,2026-01-16,1.0,1485.49,1485.49,2026-01,340.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000024,,,,,,,,,,,NO_BOOKING
C000025,2026-05-20,2026-06-13,2.0,6066.5599999999995,3033.2799999999997,2026-05,192.0,1.0,24.0,2.0,ACTIVE_COHORT_MEMBER
C000026,2026-09-26,2026-09-26,1.0,2902.33,2902.33,2026-09,87.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000027,2026-04-08,2026-04-08,1.0,2273.86,2273.86,2026-04,258.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000028,2026-04-13,2026-07-12,2.0,6859.040000000001,3429.5200000000004,2026-04,163.0,1.0,90.0,0.6666666666666666,ACTIVE_COHORT_MEMBER
C000029,2025-11-19,2026-04-06,3.0,11903.060000000001,3967.686666666667,2025-11,260.0,1.0,138.0,0.6521739130434783,ACTIVE_COHORT_MEMBER
C000030,,,,,,,,,,,NO_BOOKING
C000031,2026-05-31,2026-05-31,1.0,4021.81,4021.81,2026-05,205.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000032,,,,,,,,,,,NO_BOOKING
C000033,2026-06-28,2026-06-28,1.0,1287.64,1287.64,2026-06,177.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000034,,,,,,,,,,,NO_BOOKING
C000035,2025-10-05,2026-02-18,2.0,3213.44,1606.72,2025-10,307.0,1.0,136.0,0.4411764705882353,ACTIVE_COHORT_MEMBER
C000036,2026-06-30,2026-06-30,1.0,4185.64,4185.64,2026-06,175.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000037,2026-04-14,2026-04-14,1.0,1355.17,1355.17,2026-04,252.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000038,,,,,,,,,,,NO_BOOKING
C000039,2025-12-19,2026-06-21,3.0,8115.3,2705.1,2025-12,184.0,1.0,184.0,0.48913043478260865,ACTIVE_COHORT_MEMBER
C000040,,,,,,,,,,,NO_BOOKING
C000041,2026-02-04,2026-10-15,2.0,4848.79,2424.395,2026-02,68.0,1.0,253.0,0.23715415019762845,ACTIVE_COHORT_MEMBER
C000042,,,,,,,,,,,NO_BOOKING
C000043,2026-06-17,2026-08-18,2.0,2654.1899999999996,1327.0949999999998,2026-06,126.0,1.0,62.0,0.9677419354838709,ACTIVE_COHORT_MEMBER
C000044,2026-03-07,2026-03-07,1.0,4920.14,4920.14,2026-03,290.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000045,2025-10-16,2026-09-23,3.0,4953.3099999999995,1651.1033333333332,2025-10,90.0,1.0,342.0,0.2631578947368421,ACTIVE_COHORT_MEMBER
C000046,,,,,,,,,,,NO_BOOKING
C000047,2026-05-02,2026-05-02,1.0,4009.48,4009.48,2026-05,234.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000048,,,,,,,,,,,NO_BOOKING
C000049,2025-10-29,2025-12-08,2.0,5359.21,2679.605,2025-10,379.0,1.0,40.0,1.5,ACTIVE_COHORT_MEMBER
C000050,2026-04-14,2026-04-14,1.0,1035.62,1035.62,2026-04,252.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000051,,,,,,,,,,,NO_BOOKING
C000052,2026-05-26,2026-05-26,1.0,2532.53,2532.53,2026-05,210.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000053,2025-11-27,2026-01-31,2.0,5431.52,2715.76,2025-11,325.0,1.0,65.0,0.9230769230769231,ACTIVE_COHORT_MEMBER
C000054,2025-11-15,2026-05-17,2.0,3924.74,1962.37,2025-11,219.0,1.0,183.0,0.3278688524590164,ACTIVE_COHORT_MEMBER
C000055,2025-12-04,2025-12-04,1.0,3005.0,3005.0,2025-12,383.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000056,2026-03-13,2026-03-13,1.0,4975.45,4975.45,2026-03,284.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000057,,,,,,,,,,,NO_BOOKING
C000058,2026-02-16,2026-02-16,1.0,741.2,741.2,2026-02,309.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000059,2026-08-01,2026-08-01,1.0,1028.04,1028.04,2026-08,143.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000060,,,,,,,,,,,NO_BOOKING
C000061,2025-08-07,2026-05-02,4.0,13033.24,3258.31,2025-08,234.0,1.0,268.0,0.44776119402985076,ACTIVE_COHORT_MEMBER
C000062,,,,,,,,,,,NO_BOOKING
C000063,2025-09-12,2025-09-12,1.0,2375.54,2375.54,2025-09,466.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000064,,,,,,,,,,,NO_BOOKING
C000065,2026-08-28,2026-09-13,2.0,5323.120000000001,2661.5600000000004,2026-08,100.0,1.0,16.0,2.0,ACTIVE_COHORT_MEMBER
C000066,2025-10-20,2025-10-20,1.0,4813.96,4813.96,2025-10,428.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000067,2025-12-26,2026-11-18,4.0,8420.78,2105.195,2025-12,34.0,1.0,327.0,0.36697247706422015,ACTIVE_COHORT_MEMBER
C000068,2025-08-29,2026-03-16,3.0,9919.119999999999,3306.373333333333,2025-08,281.0,1.0,199.0,0.4522613065326633,ACTIVE_COHORT_MEMBER
C000069,,,,,,,,,,,NO_BOOKING
C000070,2026-09-08,2026-09-08,1.0,4199.51,4199.51,2026-09,105.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000071,,,,,,,,,,,NO_BOOKING
C000072,2025-12-19,2026-02-07,3.0,8351.73,2783.91,2025-12,318.0,1.0,50.0,1.7999999999999998,ACTIVE_COHORT_MEMBER
C000073,2026-02-16,2026-10-30,4.0,8678.76,2169.69,2026-02,53.0,1.0,256.0,0.46875,ACTIVE_COHORT_MEMBER
C000074,,,,,,,,,,,NO_BOOKING
C000075,2026-01-06,2026-08-21,4.0,7737.76,1934.44,2026-01,123.0,1.0,227.0,0.5286343612334802,ACTIVE_COHORT_MEMBER
C000076,2026-07-04,2026-09-06,2.0,6203.280000000001,3101.6400000000003,2026-07,107.0,1.0,64.0,0.9375,ACTIVE_COHORT_MEMBER
C000077,,,,,,,,,,,NO_BOOKING
C000078,2025-12-22,2026-02-10,2.0,4388.19,2194.095,2025-12,315.0,1.0,50.0,1.2,ACTIVE_COHORT_MEMBER
C000079,2026-03-09,2026-03-25,2.0,3500.91,1750.455,2026-03,272.0,1.0,16.0,2.0,ACTIVE_COHORT_MEMBER
C000080,,,,,,,,,,,NO_BOOKING
C000081,,,,,,,,,,,NO_BOOKING
C000082,2026-06-10,2026-06-10,1.0,2925.28,2925.28,2026-06,195.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000083,2026-01-10,2026-02-22,2.0,6669.9400000000005,3334.9700000000003,2026-01,303.0,1.0,43.0,1.3953488372093024,ACTIVE_COHORT_MEMBER
C000084,2026-09-03,2026-09-03,1.0,4153.24,4153.24,2026-09,110.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000085,2026-01-29,2026-01-29,1.0,2171.27,2171.27,2026-01,327.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000086,2025-12-02,2025-12-02,1.0,4809.67,4809.67,2025-12,385.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000087,2026-02-15,2026-12-07,2.0,5301.37,2650.685,2026-02,15.0,1.0,295.0,0.20338983050847456,ACTIVE_COHORT_MEMBER
C000088,2026-08-13,2026-08-13,1.0,715.88,715.88,2026-08,131.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000089,,,,,,,,,,,NO_BOOKING
C000090,2025-11-02,2026-09-05,4.0,10761.5,2690.375,2025-11,108.0,1.0,307.0,0.39087947882736157,ACTIVE_COHORT_MEMBER
C000091,2026-08-07,2026-08-07,1.0,1342.12,1342.12,2026-08,137.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000092,2025-12-15,2025-12-15,1.0,552.89,552.89,2025-12,372.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000093,,,,,,,,,,,NO_BOOKING
C000094,,,,,,,,,,,NO_BOOKING
C000095,2025-12-10,2026-06-15,2.0,7167.530000000001,3583.7650000000003,2025-12,190.0,1.0,187.0,0.32085561497326204,ACTIVE_COHORT_MEMBER
C000096,,,,,,,,,,,NO_BOOKING
C000097,,,,,,,,,,,NO_BOOKING
C000098,2026-11-03,2026-11-03,1.0,2817.88,2817.88,2026-11,49.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000099,2026-06-27,2026-08-29,3.0,5185.179999999999,1728.3933333333332,2026-06,115.0,1.0,63.0,1.4285714285714286,ACTIVE_COHORT_MEMBER
C000100,,,,,,,,,,,NO_BOOKING
C000101,2025-11-21,2025-11-21,1.0,3306.38,3306.38,2025-11,396.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000102,,,,,,,,,,,NO_BOOKING
C000103,,,,,,,,,,,NO_BOOKING
C000104,,,,,,,,,,,NO_BOOKING
C000105,2026-01-07,2026-01-07,1.0,3872.77,3872.77,2026-01,349.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000106,2025-11-22,2026-08-25,3.0,9051.36,3017.1200000000003,2025-11,119.0,1.0,276.0,0.32608695652173914,ACTIVE_COHORT_MEMBER
C000107,,,,,,,,,,,NO_BOOKING
C000108,,,,,,,,,,,NO_BOOKING
C000109,,,,,,,,,,,NO_BOOKING
C000110,2025-11-30,2026-07-19,2.0,8469.369999999999,4234.6849999999995,2025-11,156.0,1.0,231.0,0.2597402597402597,ACTIVE_COHORT_MEMBER
C000111,2026-02-12,2026-02-12,1.0,1198.43,1198.43,2026-02,313.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000112,,,,,,,,,,,NO_BOOKING
C000113,2026-08-02,2026-08-02,1.0,3974.09,3974.09,2026-08,142.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000114,2026-08-21,2026-08-21,1.0,3205.08,3205.08,2026-08,123.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000115,2026-05-14,2026-07-07,2.0,2002.8600000000001,1001.4300000000001,2026-05,168.0,1.0,54.0,1.1111111111111112,ACTIVE_COHORT_MEMBER
C000116,2025-12-17,2026-05-17,4.0,13661.220000000001,3415.3050000000003,2025-12,219.0,1.0,151.0,0.794701986754967,ACTIVE_COHORT_MEMBER
C000117,2025-12-03,2026-04-30,2.0,9096.21,4548.105,2025-12,236.0,1.0,148.0,0.4054054054054054,ACTIVE_COHORT_MEMBER
C000118,2025-10-13,2025-10-13,1.0,1960.71,1960.71,2025-10,435.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000119,2025-10-16,2025-10-16,1.0,1975.99,1975.99,2025-10,432.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000120,2026-07-24,2026-07-24,1.0,1215.17,1215.17,2026-07,151.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000121,2026-01-01,2026-09-04,2.0,5188.59,2594.295,2026-01,109.0,1.0,246.0,0.24390243902439027,ACTIVE_COHORT_MEMBER
C000122,2026-11-07,2026-11-07,1.0,1000.36,1000.36,2026-11,45.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000123,2025-10-31,2026-06-09,2.0,6724.139999999999,3362.0699999999997,2025-10,196.0,1.0,221.0,0.2714932126696833,ACTIVE_COHORT_MEMBER
C000124,2026-09-30,2026-09-30,1.0,4389.49,4389.49,2026-09,83.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000125,2025-10-13,2026-01-28,2.0,3277.29,1638.645,2025-10,328.0,1.0,107.0,0.5607476635514018,ACTIVE_COHORT_MEMBER
C000126,2026-01-09,2026-04-09,2.0,5793.15,2896.575,2026-01,257.0,1.0,90.0,0.6666666666666666,ACTIVE_COHORT_MEMBER
C000127,2025-11-22,2026-03-08,2.0,3784.95,1892.475,2025-11,289.0,1.0,106.0,0.5660377358490566,ACTIVE_COHORT_MEMBER
C000128,2026-01-09,2026-08-23,2.0,3218.27,1609.135,2026-01,121.0,1.0,226.0,0.26548672566371684,ACTIVE_COHORT_MEMBER
C000129,2026-03-15,2026-07-09,4.0,14637.69,3659.4225,2026-03,166.0,1.0,116.0,1.0344827586206897,ACTIVE_COHORT_MEMBER
C000130,2025-12-24,2026-01-27,3.0,6434.57,2144.8566666666666,2025-12,329.0,1.0,34.0,2.6470588235294117,ACTIVE_COHORT_MEMBER
C000131,2025-12-15,2026-09-15,2.0,3600.31,1800.155,2025-12,98.0,1.0,274.0,0.21897810218978103,ACTIVE_COHORT_MEMBER
C000132,,,,,,,,,,,NO_BOOKING
C000133,2025-10-11,2025-10-11,1.0,1787.45,1787.45,2025-10,437.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000134,2026-05-02,2026-09-15,2.0,5263.18,2631.59,2026-05,98.0,1.0,136.0,0.4411764705882353,ACTIVE_COHORT_MEMBER
C000135,2026-08-16,2026-08-16,1.0,2583.08,2583.08,2026-08,128.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000136,,,,,,,,,,,NO_BOOKING
C000137,2025-10-29,2026-09-09,3.0,10341.14,3447.0466666666666,2025-10,104.0,1.0,315.0,0.2857142857142857,ACTIVE_COHORT_MEMBER
C000138,2026-02-27,2026-04-02,2.0,7878.379999999999,3939.1899999999996,2026-02,264.0,1.0,34.0,1.7647058823529411,ACTIVE_COHORT_MEMBER
C000139,2026-04-27,2026-05-01,2.0,3050.1400000000003,1525.0700000000002,2026-04,235.0,1.0,4.0,2.0,ACTIVE_COHORT_MEMBER
C000140,2026-08-02,2026-08-02,1.0,3223.48,3223.48,2026-08,142.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000141,2025-08-18,2026-09-19,2.0,4409.67,2204.835,2025-08,94.0,1.0,397.0,0.15113350125944586,ACTIVE_COHORT_MEMBER
C000142,2026-01-05,2026-02-13,2.0,4035.61,2017.805,2026-01,312.0,1.0,39.0,1.5384615384615383,ACTIVE_COHORT_MEMBER
C000143,2025-08-31,2026-01-04,3.0,11440.24,3813.4133333333334,2025-08,352.0,1.0,126.0,0.7142857142857143,ACTIVE_COHORT_MEMBER
C000144,2026-01-20,2026-10-18,3.0,7060.15,2353.383333333333,2026-01,65.0,1.0,271.0,0.33210332103321033,ACTIVE_COHORT_MEMBER
C000145,,,,,,,,,,,NO_BOOKING
C000146,2025-11-17,2026-08-01,3.0,10454.89,3484.963333333333,2025-11,143.0,1.0,257.0,0.3501945525291829,ACTIVE_COHORT_MEMBER
C000147,2026-03-16,2026-06-22,2.0,7282.3,3641.15,2026-03,183.0,1.0,98.0,0.6122448979591837,ACTIVE_COHORT_MEMBER
C000148,2025-10-31,2026-06-17,2.0,8844.59,4422.295,2025-10,188.0,1.0,229.0,0.26200873362445415,ACTIVE_COHORT_MEMBER
C000149,2026-03-21,2026-07-09,3.0,6067.91,2022.6366666666665,2026-03,166.0,1.0,110.0,0.8181818181818182,ACTIVE_COHORT_MEMBER
C000150,,,,,,,,,,,NO_BOOKING
C000151,2026-06-10,2026-06-10,1.0,3678.85,3678.85,2026-06,195.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000152,2025-11-16,2026-07-28,3.0,7375.33,2458.443333333333,2025-11,147.0,1.0,254.0,0.3543307086614173,ACTIVE_COHORT_MEMBER
C000153,2026-08-18,2026-08-18,1.0,1152.56,1152.56,2026-08,126.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000154,2025-08-28,2026-09-02,4.0,14499.98,3624.995,2025-08,111.0,1.0,370.0,0.3243243243243243,ACTIVE_COHORT_MEMBER
C000155,2026-07-04,2026-09-09,3.0,9734.09,3244.6966666666667,2026-07,104.0,1.0,67.0,1.3432835820895521,ACTIVE_COHORT_MEMBER
C000156,2025-11-17,2026-03-13,3.0,7193.1,2397.7000000000003,2025-11,284.0,1.0,116.0,0.7758620689655172,ACTIVE_COHORT_MEMBER
C000157,2026-08-03,2026-08-03,1.0,4774.29,4774.29,2026-08,141.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000158,,,,,,,,,,,NO_BOOKING
C000159,2025-12-24,2026-06-12,2.0,4576.049999999999,2288.0249999999996,2025-12,193.0,1.0,170.0,0.3529411764705882,ACTIVE_COHORT_MEMBER
C000160,2025-12-31,2025-12-31,1.0,2568.77,2568.77,2025-12,356.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000161,2026-04-13,2026-09-28,2.0,7349.26,3674.63,2026-04,85.0,1.0,168.0,0.35714285714285715,ACTIVE_COHORT_MEMBER
C000162,2025-09-30,2026-11-11,4.0,15068.61,3767.1525,2025-09,41.0,1.0,407.0,0.29484029484029484,ACTIVE_COHORT_MEMBER
C000163,2026-04-26,2026-07-15,2.0,7488.33,3744.165,2026-04,160.0,1.0,80.0,0.75,ACTIVE_COHORT_MEMBER
C000164,2026-09-23,2026-09-23,1.0,4912.84,4912.84,2026-09,90.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000165,2025-11-25,2026-05-14,2.0,5173.74,2586.87,2025-11,222.0,1.0,170.0,0.3529411764705882,ACTIVE_COHORT_MEMBER
C000166,2025-11-11,2026-06-04,3.0,5352.37,1784.1233333333332,2025-11,201.0,1.0,205.0,0.43902439024390244,ACTIVE_COHORT_MEMBER
C000167,2026-09-01,2026-09-01,1.0,1583.2,1583.2,2026-09,112.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000168,,,,,,,,,,,NO_BOOKING
C000169,,,,,,,,,,,NO_BOOKING
C000170,,,,,,,,,,,NO_BOOKING
C000171,2026-01-11,2026-08-13,2.0,6936.26,3468.13,2026-01,131.0,1.0,214.0,0.2803738317757009,ACTIVE_COHORT_MEMBER
C000172,2025-08-24,2026-09-26,3.0,11551.03,3850.3433333333337,2025-08,87.0,1.0,398.0,0.22613065326633164,ACTIVE_COHORT_MEMBER
C000173,2026-01-20,2026-01-20,1.0,1193.9,1193.9,2026-01,336.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000174,2026-01-30,2026-01-30,1.0,2475.51,2475.51,2026-01,326.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000175,2026-02-09,2026-02-09,1.0,1732.86,1732.86,2026-02,316.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000176,2025-12-05,2026-07-27,2.0,7623.12,3811.56,2025-12,148.0,1.0,234.0,0.25641025641025644,ACTIVE_COHORT_MEMBER
C000177,2026-08-24,2026-08-24,1.0,1545.34,1545.34,2026-08,120.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000178,,,,,,,,,,,NO_BOOKING
C000179,2026-04-15,2026-04-26,2.0,6386.3,3193.15,2026-04,240.0,1.0,11.0,2.0,ACTIVE_COHORT_MEMBER
C000180,2025-11-03,2025-11-03,1.0,1959.22,1959.22,2025-11,414.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000181,,,,,,,,,,,NO_BOOKING
C000182,,,,,,,,,,,NO_BOOKING
C000183,2026-04-05,2026-05-09,2.0,5043.02,2521.51,2026-04,227.0,1.0,34.0,1.7647058823529411,ACTIVE_COHORT_MEMBER
C000184,2026-04-17,2026-04-17,1.0,1849.84,1849.84,2026-04,249.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000185,2026-05-20,2026-05-20,1.0,1445.47,1445.47,2026-05,216.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000186,,,,,,,,,,,NO_BOOKING
C000187,2025-08-06,2026-04-26,4.0,10807.23,2701.8075,2025-08,240.0,1.0,263.0,0.4562737642585551,ACTIVE_COHORT_MEMBER
C000188,2026-01-07,2026-01-07,1.0,3231.89,3231.89,2026-01,349.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000189,,,,,,,,,,,NO_BOOKING
C000190,2026-03-26,2026-10-12,2.0,3511.1400000000003,1755.5700000000002,2026-03,71.0,1.0,200.0,0.3,ACTIVE_COHORT_MEMBER
C000191,2026-02-12,2026-03-02,2.0,5527.25,2763.625,2026-02,295.0,1.0,18.0,2.0,ACTIVE_COHORT_MEMBER
C000192,2025-12-13,2026-07-05,4.0,7147.36,1786.84,2025-12,170.0,1.0,204.0,0.5882352941176471,ACTIVE_COHORT_MEMBER
C000193,2026-01-27,2026-11-20,2.0,4713.51,2356.755,2026-01,32.0,1.0,297.0,0.20202020202020202,ACTIVE_COHORT_MEMBER
C000194,2026-01-12,2026-05-12,3.0,9341.57,3113.8566666666666,2026-01,224.0,1.0,120.0,0.75,ACTIVE_COHORT_MEMBER
C000195,2026-01-07,2026-05-30,3.0,12308.81,4102.9366666666665,2026-01,206.0,1.0,143.0,0.6293706293706294,ACTIVE_COHORT_MEMBER
C000196,2026-05-03,2026-05-03,1.0,600.65,600.65,2026-05,233.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000197,2026-08-20,2026-08-20,1.0,1607.91,1607.91,2026-08,124.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000198,2025-11-14,2026-10-04,3.0,12264.48,4088.16,2025-11,79.0,1.0,324.0,0.27777777777777773,ACTIVE_COHORT_MEMBER
C000199,2026-02-26,2026-02-26,1.0,1625.6,1625.6,2026-02,299.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000200,2026-04-06,2026-04-06,1.0,591.04,591.04,2026-04,260.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000201,2025-09-20,2026-01-31,2.0,6609.73,3304.865,2025-09,325.0,1.0,133.0,0.45112781954887216,ACTIVE_COHORT_MEMBER
C000202,2025-11-25,2026-07-15,3.0,4336.67,1445.5566666666666,2025-11,160.0,1.0,232.0,0.3879310344827586,ACTIVE_COHORT_MEMBER
C000203,2026-05-22,2026-05-22,1.0,2921.1,2921.1,2026-05,214.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000204,2025-11-13,2026-06-21,2.0,6371.0599999999995,3185.5299999999997,2025-11,184.0,1.0,220.0,0.27272727272727276,ACTIVE_COHORT_MEMBER
C000205,2025-11-12,2026-05-02,2.0,4785.83,2392.915,2025-11,234.0,1.0,171.0,0.3508771929824561,ACTIVE_COHORT_MEMBER
C000206,2026-01-17,2026-08-19,2.0,5252.76,2626.38,2026-01,125.0,1.0,214.0,0.2803738317757009,ACTIVE_COHORT_MEMBER
C000207,2026-04-03,2026-07-23,2.0,4373.5199999999995,2186.7599999999998,2026-04,152.0,1.0,111.0,0.5405405405405405,ACTIVE_COHORT_MEMBER
C000208,2026-04-08,2026-05-20,4.0,16527.760000000002,4131.9400000000005,2026-04,216.0,1.0,42.0,2.857142857142857,ACTIVE_COHORT_MEMBER
C000209,2025-11-16,2025-11-16,1.0,3159.13,3159.13,2025-11,401.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000210,2026-08-21,2026-09-11,2.0,2608.61,1304.305,2026-08,102.0,1.0,21.0,2.0,ACTIVE_COHORT_MEMBER
C000211,,,,,,,,,,,NO_BOOKING
C000212,2026-07-20,2026-07-20,1.0,3216.33,3216.33,2026-07,155.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000213,2026-01-20,2026-01-20,1.0,4773.36,4773.36,2026-01,336.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000214,2025-11-23,2026-02-15,2.0,6034.37,3017.185,2025-11,310.0,1.0,84.0,0.7142857142857143,ACTIVE_COHORT_MEMBER
C000215,,,,,,,,,,,NO_BOOKING
C000216,2025-12-12,2026-08-06,3.0,9863.71,3287.903333333333,2025-12,138.0,1.0,237.0,0.37974683544303794,ACTIVE_COHORT_MEMBER
C000217,,,,,,,,,,,NO_BOOKING
C000218,,,,,,,,,,,NO_BOOKING
C000219,,,,,,,,,,,NO_BOOKING
C000220,2025-11-12,2026-08-30,3.0,7345.24,2448.4133333333334,2025-11,114.0,1.0,291.0,0.30927835051546393,ACTIVE_COHORT_MEMBER
C000221,2026-01-13,2026-07-30,2.0,5599.13,2799.565,2026-01,145.0,1.0,198.0,0.30303030303030304,ACTIVE_COHORT_MEMBER
C000222,,,,,,,,,,,NO_BOOKING
C000223,2026-03-22,2026-03-22,1.0,3391.58,3391.58,2026-03,275.0,0.0,0.0,1.0,ACTIVE_COHORT_MEMBER
C000224,2025-12-21,2026-10-17,4.0,17973.9,4493.475,2025-12,66.0,1.0,300.0,0.4,ACTIVE_COHORT_MEMBER
