booking_id,customer_id,trip_id,booking_date,booking_amount,booking_status
B000309,C002734,T000024,2026-01-09,1648.0,Confirmed
B000310,C003864,T000013,2025-12-19,2988.67,Confirmed
B000311,C004722,T000024,2026-01-09,1290.98,Confirmed
B000312,C004015,T000026,2025-11-03,3340.12,Confirmed
B000313,C002902,T000002,2026-06-25,1054.61,Confirmed
B000314,C001687,T000016,2026-01-31,2710.9,Confirmed
B000315,C003010,T000038,2026-07-23,3448.32,Confirmed
B000316,C000155,T000046,2026-09-09,3106.08,Cancelled
B000317,C002538,T000001,2026-03-31,1130.0,Confirmed
B000318,C001410,T000049,2026-01-18,1226.18,Cancelled
B000319,C004058,T000011,2026-10-06,3521.26,Confirmed
B000320,C000785,T000035,2026-06-15,4140.09,Confirmed
B000321,C003176,T000043,2026-06-09,4586.33,Confirmed
B000322,C004342,T000029,2026-07-05,4161.25,Confirmed
B000323,C002807,T000037,2026-02-06,4882.66,Confirmed
B000324,C000538,T000017,2026-03-11,2337.13,Confirmed
B000325,C001842,T000039,2025-09-11,1990.25,Confirmed
B000326,C002456,T000042,2025-12-11,626.83,Pending
B000327,C000525,T000028,2026-05-08,2524.53,Confirmed
B000328,C002951,T000029,2026-09-17,3431.17,Confirmed
B000329,C004132,T000043,2026-08-10,4169.34,Pending
B000330,C004781,T000003,2026-05-24,1703.55,Cancelled
B000331,C004116,T000010,2026-05-26,2811.16,Confirmed
B000332,C002369,T000042,2026-03-26,3479.04,Confirmed
B000333,C003848,T000014,2026-09-27,2982.21,Confirmed
B000334,C004496,T000012,2026-03-08,1733.09,Cancelled
B000335,C002702,T000047,2026-03-03,4083.27,Confirmed
B000336,C000972,T000042,2025-12-22,1280.12,Cancelled
B000337,C001167,T000030,2025-10-14,4572.41,Pending
B000338,C004930,T000032,2026-04-11,4786.69,Pending
B000339,C002775,T000032,2026-01-28,2145.08,Cancelled
B000340,C001983,T000042,2025-12-28,2192.82,Confirmed
B000341,C000854,T000032,2026-02-21,3844.75,Confirmed
B000342,C004147,T000026,2025-09-27,2553.3,Confirmed
B000343,C003737,T000001,2026-03-06,628.75,Confirmed
B000344,C003770,T000042,2026-03-21,4639.45,Confirmed
B000345,C000575,T000002,2026-08-09,2438.38,Confirmed
B000346,C003262,T000017,2026-03-03,1415.73,Pending
B000347,C001149,T000030,2026-01-30,3000.49,Cancelled
B000348,C001716,T000039,2026-01-25,1485.08,Confirmed
B000349,C004778,T000007,2025-07-31,1427.1,Confirmed
B000350,C004934,T000027,2026-08-21,2955.79,Confirmed
B000351,C003855,T000009,2026-02-15,2259.69,Cancelled
B000352,C002492,T000022,2026-05-04,3078.47,Confirmed
B000353,C002661,T000034,2026-05-25,4985.71,Pending
B000354,C003125,T000046,2026-08-22,4365.58,Cancelled
B000355,C003052,T000049,2026-03-23,534.52,Pending
B000356,C000005,T000001,2025-12-02,727.5,Confirmed
B000357,C004870,T000009,2026-03-25,3245.36,Cancelled
B000358,C000877,T000020,2026-07-16,3318.15,Cancelled
B000359,C000992,T000019,2026-04-01,4451.86,Confirmed
B000360,C004143,T000036,2026-05-17,3330.76,Confirmed
B000361,C004365,T000040,2026-07-01,1524.72,Cancelled
B000362,C004466,T000045,2025-08-16,2608.32,Confirmed
B000363,C000636,T000004,2026-01-10,4140.43,Confirmed
B000364,C001694,T000009,2026-04-22,4652.71,Cancelled
B000365,C001683,T000041,2026-10-18,1566.12,Cancelled
B000366,C004753,T000022,2026-06-06,2928.22,Confirmed
B000367,C000120,T000018,2026-07-24,1215.17,Confirmed
B000368,C000831,T000012,2025-10-25,2736.5,Confirmed
B000369,C003676,T000042,2026-04-05,905.51,Confirmed
B000370,C001370,T000043,2026-07-30,4737.78,Pending
B000371,C000741,T000039,2025-09-23,3371.25,Confirmed
B000372,C000117,T000009,2025-12-03,4343.98,Pending
B000373,C002839,T000006,2026-04-26,4992.33,Confirmed
B000374,C001151,T000019,2026-05-31,1322.0,Confirmed
B000375,C001932,T000048,2026-07-29,3623.65,Cancelled
B000376,C001013,T000047,2025-12-20,4491.44,Confirmed
B000377,C001665,T000007,2025-12-21,3091.72,Confirmed
B000378,C001082,T000016,2026-04-12,3378.63,Pending
B000379,C004730,T000005,2025-10-29,2334.52,Cancelled
B000380,C000513,T000016,2026-01-28,3536.42,Confirmed
B000381,C002850,T000001,2025-11-15,2280.1,Confirmed
B000382,C000560,T000037,2025-10-09,2644.79,Confirmed
B000383,C003673,T000039,2025-11-29,963.1,Pending
B000384,C004584,T000019,2026-03-24,535.14,Cancelled
B000385,C004993,T000037,2025-08-26,748.18,Confirmed
B000386,C003344,T000017,2026-05-20,1366.35,Confirmed
B000387,C004071,T000026,2025-09-03,2554.72,Cancelled
B000388,C004800,T000022,2026-05-20,594.47,Confirmed
B000389,C001471,T000008,2026-03-29,1201.71,Pending
B000390,C000581,T000033,2026-01-21,4016.5,Pending
B000391,C002295,T000002,2026-11-06,3929.75,Cancelled
B000392,C003148,T000030,2025-11-20,4053.79,Confirmed
B000393,C004250,T000047,2026-01-29,4646.93,Confirmed
B000394,C001680,T000020,2026-09-30,1035.82,Confirmed
B000395,C003507,T000018,2026-07-16,1234.13,Confirmed
B000396,C002745,T000043,2026-09-24,2000.99,Confirmed
B000397,C003357,T000010,2026-05-04,4618.14,Confirmed
B000398,C004046,T000024,2026-03-08,3989.65,Confirmed
B000399,C001244,T000004,2025-11-09,1958.55,Confirmed
B000400,C003119,T000037,2025-12-21,894.36,Confirmed
B000401,C002142,T000004,2025-11-25,3273.71,Cancelled
B000402,C003060,T000013,2026-03-18,1655.69,Confirmed
B000403,C004549,T000025,2026-06-08,2890.19,Confirmed
B000404,C002960,T000013,2025-11-14,4738.12,Confirmed
B000405,C002266,T000018,2026-06-21,3076.78,Confirmed
B000406,C002480,T000024,2026-05-31,4657.25,Cancelled
B000407,C004647,T000002,2026-12-02,2268.67,Confirmed
B000408,C001636,T000048,2026-08-30,3350.08,Confirmed
B000409,C001758,T000033,2026-06-07,4522.5,Confirmed
B000410,C004453,T000019,2026-08-30,3145.94,Pending
B000411,C002071,T000009,2026-04-13,3267.04,Confirmed
B000412,C002850,T000028,2026-04-15,3723.39,Confirmed
B000413,C003252,T000035,2026-01-12,4469.48,Confirmed
B000414,C003731,T000039,2026-01-10,896.81,Confirmed
B000415,C002490,T000010,2026-03-03,2015.87,Confirmed
B000416,C001632,T000001,2026-03-19,2289.58,Cancelled
B000417,C002817,T000042,2026-02-18,4593.69,Confirmed
B000418,C001016,T000021,2026-08-24,4802.04,Cancelled
B000419,C001349,T000009,2025-12-27,1041.71,Confirmed
B000420,C004612,T000047,2026-01-03,1035.98,Confirmed
B000421,C003088,T000015,2026-04-10,4706.88,Cancelled
B000422,C002840,T000035,2026-02-04,1830.97,Confirmed
B000423,C000336,T000005,2025-12-22,1588.16,Confirmed
B000424,C004593,T000041,2026-07-09,660.3,Cancelled
B000425,C000896,T000022,2026-05-18,1740.18,Pending
B000426,C003547,T000041,2026-09-09,3620.87,Confirmed
B000427,C000852,T000023,2026-08-01,2417.16,Confirmed
B000428,C001688,T000007,2025-12-28,2825.92,Confirmed
B000429,C001932,T000023,2026-06-12,4627.83,Confirmed
B000430,C003747,T000044,2026-03-22,1016.1,Confirmed
B000431,C002428,T000025,2026-09-02,820.58,Confirmed
B000432,C001569,T000027,2026-08-23,4333.69,Confirmed
B000433,C004001,T000041,2026-10-07,3986.85,Confirmed
B000434,C002739,T000006,2026-03-22,1686.8,Cancelled
B000435,C003499,T000034,2026-06-27,1959.05,Cancelled
B000436,C003914,T000009,2026-04-01,1896.25,Confirmed
B000437,C001067,T000049,2025-11-12,3415.14,Cancelled
B000438,C004381,T000033,2026-02-10,775.45,Confirmed
B000439,C002445,T000006,2026-01-13,2702.31,Confirmed
B000440,C004108,T000037,2025-12-27,1102.43,Confirmed
B000441,C003374,T000031,2025-12-06,4188.82,Cancelled
B000442,C003970,T000034,2026-05-09,2212.98,Confirmed
B000443,C002547,T000041,2026-09-16,2874.07,Confirmed
B000444,C000754,T000029,2026-11-17,631.93,Pending
B000445,C002083,T000014,2026-11-15,762.19,Confirmed
B000446,C002775,T000036,2026-01-09,3537.75,Pending
B000447,C002897,T000036,2026-01-17,3950.47,Confirmed
B000448,C004186,T000015,2026-05-19,3695.16,Cancelled
B000449,C000776,T000008,2026-03-25,3816.58,Confirmed
B000450,C001626,T000026,2025-09-12,970.79,Cancelled
B000451,C003070,T000036,2026-02-26,3620.53,Pending
B000452,C000418,T000048,2026-07-18,1317.86,Cancelled
B000453,C000115,T000021,2026-07-07,941.07,Confirmed
B000454,C000617,T000028,2026-05-20,3907.22,Cancelled
B000455,C003975,T000004,2026-02-28,4502.33,Confirmed
B000456,C003268,T000016,2026-01-16,3725.19,Confirmed
B000457,C000826,T000022,2026-01-27,4125.08,Pending
B000458,C001517,T000012,2025-12-03,4959.9,Confirmed
B000459,C003147,T000016,2026-04-09,1106.4,Confirmed
B000460,C000413,T000040,2026-06-11,4843.19,Confirmed
B000461,C000729,T000038,2026-11-22,3205.39,Confirmed
B000462,C003349,T000042,2026-02-03,4159.64,Confirmed
B000463,C002809,T000037,2025-10-12,3425.76,Confirmed
B000464,C000676,T000029,2026-08-01,3065.17,Confirmed
B000465,C003466,T000018,2026-09-08,3666.29,Confirmed
B000466,C002505,T000010,2026-03-02,1941.16,Pending
B000467,C002968,T000042,2026-01-22,4659.22,Confirmed
B000468,C002787,T000039,2025-11-05,1018.82,Confirmed
B000469,C001123,T000018,2026-05-15,1931.14,Confirmed
